"adjusted.Year","adjusted.PgCO2_to_atmos_cumulative_global_alldepths","adjusted.China","adjusted.Vietnam","adjusted.Indonesia","adjusted.India","adjusted.Morocco","adjusted.Japan","adjusted.United.States","adjusted.South.Korea","adjusted.United.Kingdom","adjusted.Malaysia","adjusted.Argentina","adjusted.Myanmar","adjusted.Mexico","adjusted.Thailand","adjusted.Russia","adjusted.Norway","adjusted.Guinea","adjusted.Guinea.Bissau","adjusted.Namibia","adjusted.New.Zealand","adjusted.Denmark","adjusted.Angola","adjusted.Canada","adjusted.Iceland","adjusted.Pakistan","adjusted.Turkey","adjusted.Brazil","adjusted.Bangladesh","adjusted.South.Africa","adjusted.Ireland","adjusted.Netherlands","adjusted.Côte.d.Ivoire","adjusted.Germany","adjusted.Republ..of.Congo","adjusted.Guyana","unadjusted.Year","unadjusted.PgCO2_to_atmos_cumulative_global_alldepths","unadjusted.China","unadjusted.Vietnam","unadjusted.Indonesia","unadjusted.India","unadjusted.Morocco","unadjusted.Japan","unadjusted.United.States","unadjusted.South.Korea","unadjusted.United.Kingdom","unadjusted.Malaysia","unadjusted.Argentina","unadjusted.Myanmar","unadjusted.Mexico","unadjusted.Thailand","unadjusted.Russia","unadjusted.Norway","unadjusted.Guinea","unadjusted.Guinea.Bissau","unadjusted.Namibia","unadjusted.New.Zealand","unadjusted.Denmark","unadjusted.Angola","unadjusted.Canada","unadjusted.Iceland","unadjusted.Pakistan","unadjusted.Turkey","unadjusted.Brazil","unadjusted.Bangladesh","unadjusted.South.Africa","unadjusted.Ireland","unadjusted.Netherlands","unadjusted.Côte.d.Ivoire","unadjusted.Germany","unadjusted.Republ..of.Congo","unadjusted.Guyana"
11,7.0211985473791,4.12359582859976,0.00421127963994576,9.64278457180124e-08,0.014638322504021,0.0192094616582438,0.0578832612203142,0.144135204802215,0.0508326635227647,0.243455057907719,0.052094336935669,0.015218266221869,0,0.000165299158714407,0.00585325216773687,0.136518657617649,0.103835452802723,0.00435971339366289,0.036536105631735,0.019742588562885,0.0269361764340763,0.192186914826076,0.0137684586620042,0.0314708056710811,0.0342661399598971,0,0.0645222244147635,0.0122839795457806,0,0.0379327058430807,0.0643340872856974,0.173494483319821,0.0034675116596451,0.0761147885835944,0.00581827875331186,0,11,8.50069185657717,4.4344298061937,0.00530585764349483,9.84658171027549e-08,0.0166354187152505,0.045291335993328,0.0832825320755397,0.177248289485084,0.0689751262062483,0.275303304665656,0.0525040645749054,0.0171777861522174,0,0.000322735947186879,0.00587915742228759,0.488693267181796,0.150634217985106,0.0064880759347652,0.0431144464346248,0.0747724039256012,0.0459668138691557,0.228727484225957,0.0959087830071753,0.0625611388279438,0.072035632268718,0,0.0724021865046102,0.0133220046516053,0,0.0562928179709234,0.0811364855195204,0.173496568940332,0.00489379967725535,0.0761179428723717,0.0199001946058738,0
12,7.55343844919184,4.43079534243747,0.00456529059651834,1.03240488462871e-07,0.0157026824852308,0.0210511261638263,0.0638481543448232,0.155555482006677,0.0557364299771335,0.261039876819584,0.0557242270503734,0.0163190657521269,0,0.000178939744419601,0.00625928737686978,0.148472999620247,0.112028893280033,0.00468798795772201,0.0392098156639963,0.0221220333122812,0.0291943831360296,0.205941593946482,0.0151236088389656,0.0343501651932784,0.0369474495096477,0,0.0692954952709368,0.0131847689107754,0,0.0412089246598976,0.0691195817497277,0.185481575510244,0.00379791232162982,0.0813738774374615,0.00652163588904223,0,12,9.08801493824899,4.74080992479734,0.00567244576534026,1.05268939497478e-07,0.0177847799142666,0.0484205691754546,0.0890366229440603,0.189494588181453,0.0737407010989333,0.294324342955094,0.0561316338982859,0.0183646201734287,0,0.000345034164116294,0.00628535551923661,0.522457676069457,0.161041718292718,0.00693634494820777,0.0460932756842659,0.0799385197475287,0.0491427166346911,0.244530542749328,0.102535236823588,0.0668835635751597,0.0770126612268382,0,0.0774045411382232,0.0142424380655013,0,0.0601821568488045,0.0867423034359145,0.185483656726684,0.00523191821584304,0.0813770236075157,0.0212751231198097,0
13,8.08516829939447,4.73719181155789,0.00492069174684968,1.10040272308613e-07,0.0167667306966278,0.0229156401753379,0.0697537437587145,0.166976865486265,0.0605993192240054,0.278593643640679,0.0593483790293607,0.0174194798266443,0,0.000192817924760783,0.00666476418193655,0.160635287348104,0.120197976958749,0.00501730296692888,0.0418832635617165,0.024610497356758,0.0314611681403578,0.219688691344066,0.016493003641021,0.0372386455307651,0.0396402271609921,0,0.0740652558705353,0.0140835353625976,0,0.0444985958433644,0.073889627607231,0.197452588106103,0.00412642901369995,0.0866259090596991,0.00722718574428415,0,13,9.67455027480192,5.04677911209164,0.00603854220209338,1.12062937227044e-07,0.0189325995364188,0.0515456052840421,0.094782996157449,0.201724461570656,0.0784998841802329,0.313319869340546,0.0597543377564445,0.0195498623574786,0,0.000367302473636833,0.0066910088043467,0.556176798556629,0.171435259575351,0.00738401272233537,0.0490681095891392,0.0850977065338892,0.0523143597312646,0.260312405473311,0.109152802930984,0.0712001908846406,0.081983014761515,0,0.0824001863804152,0.0151616369511595,0,0.0640662791639243,0.0923406025677778,0.197454666871636,0.00556958325407175,0.0866290506182137,0.022648207515475,0
14,8.61680248945973,5.04304608589733,0.0052772468319568,1.16832238092194e-07,0.0178310980808049,0.024802903771603,0.0756117164474955,0.178410789029685,0.0654300568497502,0.296129102566396,0.0629691980872691,0.018520141968323,0,0.000206936325286882,0.00706992687777467,0.173025729620137,0.128355566193291,0.0053479922885277,0.0445589367986633,0.0272015716613928,0.033738366793089,0.233434973385722,0.0178783154691768,0.0401385044032899,0.0423445506103961,0,0.0788358402556563,0.0149812915091945,0,0.0478038084971935,0.0786504412297273,0.209414435359867,0.00445345287963685,0.0918739180596574,0.00793461623540718,0,14,10.2606365966371,5.35251406853962,0.0064043583783439,1.1885173389747e-07,0.0200795404597585,0.0546682490607121,0.100524970307413,0.213944972534774,0.0832554239290427,0.332300853940725,0.0633742682994265,0.0207341971943466,0,0.000389553735934313,0.0070963515467086,0.589870107795521,0.181820844213748,0.00783133779005344,0.0520406661474949,0.0902529437699763,0.0554835748165298,0.276082186591642,0.115765303044239,0.0755135136546126,0.0869495633048289,0,0.0873920072694972,0.0160801321557221,0,0.0679474280382702,0.0979346159924588,0.20941651276099,0.00590698979709584,0.0918770570059774,0.024020240763726,0
15,9.14861452181858,5.34853696206708,0.00563476257267852,1.23619443285092e-07,0.018896111529949,0.0267122963521737,0.081432461935812,0.189864525597939,0.0702361239941215,0.313654044693074,0.0665880787352522,0.0196214265250977,0,0.000221293688442178,0.00747491502052314,0.185661367177441,0.136510248784389,0.00568025238693563,0.0472383160573392,0.0298874521411923,0.0360270970927652,0.247183965157355,0.0192806585098451,0.0430511954702362,0.0450598624242969,0,0.0836096498295373,0.0158786519412641,0,0.0511251944346415,0.08340592162145,0.221371058385151,0.00477933666696661,0.0971196341646561,0.00864393036666107,0,15,10.8464669800831,5.6581155134052,0.00677001480610792,1.25637565964186e-07,0.0212259805247751,0.0577895292081893,0.106264436991224,0.226160146916593,0.0880088869783335,0.351273549723299,0.066992618052758,0.0219180148433208,0,0.000411795281314649,0.00750151727970404,0.623548703482895,0.192201893564929,0.00827846751511808,0.0550119246183354,0.0954059297624077,0.0586514059353493,0.291845081194752,0.122374915540834,0.0798249528370644,0.091913943003066,0,0.0923816482773065,0.0169982262620602,0,0.0718268820513748,0.103526186564046,0.221373135024653,0.00624424899785329,0.0971227716386686,0.025391674857951,0
16,9.68078498070438,5.65378759123169,0.00599308592245996,1.30403748892808e-07,0.019961925725659,0.0286429581960314,0.0872246855356807,0.201342376775525,0.0750236385269092,0.331173300133148,0.0702058305839784,0.0207235530407928,0,0.000235886342447995,0.00787980816955059,0.198556936951807,0.144667712736968,0.00601418816888527,0.0499222449235858,0.0326601913478189,0.0383279471888572,0.260937438151719,0.0207007452638459,0.0459772231687075,0.0477853480986687,0,0.0883879447981018,0.0167759850029506,0,0.0544626204627414,0.0881584937374102,0.233324703610437,0.00510438083714568,0.102364043319302,0.00935527349703935,0,16,11.4321514786474,5.96364085666881,0.00713558017723464,1.32421708206788e-07,0.0223721351005476,0.0609100320870265,0.112002474419329,0.238372279446503,0.0927611663088983,0.370241520879839,0.0706100667559886,0.0231015376951957,0,0.000434031288052213,0.00790658211736059,0.657218912445903,0.202580357802397,0.00872548589487026,0.0579824431792924,0.100557632545955,0.0618184481932947,0.307604050484186,0.128982882095933,0.0841353183746297,0.0968770864596094,0,0.0973700467527904,0.0179160917424104,0,0.0757053699935721,0.109116364709369,0.233326779821672,0.00658142421351877,0.102367179970969,0.026762767434381,0
17,10.2134331612021,5.95888297634558,0.00635209716121781,1.37186292447649e-07,0.0210285990513672,0.0305939522542282,0.0929954085530462,0.212846557377746,0.0797974424675132,0.348689911903251,0.0738229244075986,0.02182664899989,0,0.00025070912580048,0.00828465152729568,0.211725408513704,0.152831682155706,0.00634984412974785,0.0526111614525566,0.0355124588488131,0.0406411149174289,0.274696235809517,0.0221390245400929,0.0489166532580679,0.0505201486689544,0,0.0931713137535861,0.0176735068507578,0,0.0578156154226565,0.0929096542000849,0.245276651496103,0.00542883089833027,0.107607707512072,0.0100688299223316,0,17,12.017752822829,6.2691228220193,0.00750109364607811,1.39204887249645e-07,0.0235181269474509,0.064030091922739,0.11773969717168,0.250582678120823,0.0975127709197893,0.389206798999538,0.0742270018606618,0.0242848925127238,0,0.000456264137763397,0.00831158944467397,0.690884340976023,0.212957348525049,0.00917244080779435,0.0609525399916158,0.105708603900439,0.064985040800542,0.323360782344825,0.135589910464379,0.0884450719346098,0.101839525258387,0,0.102357736984849,0.0188338269059474,0,0.0795833072753521,0.114705749171722,0.245278727462704,0.00691855155768182,0.107610843712045,0.0281336653456679,0
18,10.7466375468357,6.26388176827121,0.00671170244553366,1.43967772657227e-07,0.022096137125087,0.032564349998845,0.0987501459511513,0.22437784717138,0.0845612767082007,0.36620582776611,0.0774396344399362,0.0229307851454665,0,0.00026575598051101,0.00868947063195479,0.225178287063718,0.161004563590422,0.0066872258752049,0.0553052464770106,0.0384378994980893,0.0429665196851129,0.288460721696534,0.0235958047977706,0.0518692676697057,0.0532634688615608,0,0.0979599524380585,0.0185713397437584,0,0.0611836018595613,0.0976603199097839,0.257227631902192,0.0057528967534351,0.112850947076445,0.010784767395089,0,18,12.6033067690125,6.5745800619593,0.00786657753062011,1.45987517268646e-07,0.0246640260388988,0.0671498992238703,0.123476455558853,0.262792088497458,0.102263990940466,0.408170542088239,0.0778436442141572,0.0254681515506744,0,0.000478495187969544,0.00871656399109175,0.724547044659396,0.223333499344256,0.00961935954462642,0.0639223964072179,0.110859158340357,0.0681513771068912,0.33911623887105,0.142196404066433,0.0927544766673662,0.106801562402239,0,0.107345023518155,0.019751487788901,0,0.0834609306806942,0.120294681234782,0.257229707724823,0.00725565161508849,0.112854083036125,0.0295044522978233,0
19,11.2804495242009,6.56882432017427,0.00707182731414325,1.50748620979822e-07,0.0231645176340861,0.0345532717429177,0.104493146030158,0.235936065415347,0.0893179777448346,0.383722310203633,0.0810561207390071,0.0240359961426494,0,0.000281020339900211,0.00909427977697451,0.238925752968593,0.169187887723255,0.00702631508015043,0.0580045203710295,0.0414312085019132,0.0453038947313668,0.302231016578618,0.0250716889484429,0.0548346726112824,0.0560146215804469,0,0.102753830356609,0.0194695482017769,0,0.0645660005734801,0.102411048406441,0.269178060847464,0.00607673270590097,0.118093944602541,0.0115032125354232,0,19,13.1888336983371,6.88002320841534,0.00823204455211029,1.52769834344051e-07,0.0258098722597371,0.0702695625802904,0.129212949257873,0.275000935544413,0.107014991744721,0.427133410209271,0.0814601196994813,0.0266513559942657,0,0.000500725212457821,0.00912151985239904,0.758208195180124,0.233709171418499,0.010066257661086,0.066892115796689,0.116009475138971,0.0713175673217286,0.35487096845666,0.148802592851644,0.0970636825686052,0.111763370602783,0,0.112332079943172,0.020669106331922,0,0.0873383751764668,0.125883355430245,0.269180136580963,0.00759273611904401,0.118097080442516,0.0308751760032737,0
20,11.8149019051411,6.87373823691782,0.00743241157371118,1.57529105270076e-07,0.0242337044032252,0.0365599013435758,0.110227632767495,0.247520411856244,0.0940696636498671,0.401240182409541,0.0846724769164997,0.0251422934474361,0,0.000296495385768534,0.0094990868356929,0.252976693597956,0.177382608036091,0.00736707981878229,0.0607089069150695,0.0444880368887787,0.047652861637305,0.316007120198427,0.026566892869769,0.0578123760780742,0.0587730359862746,0,0.107552791301666,0.0203681615942255,0,0.0679622627192207,0.107162175921629,0.281128175461703,0.00640045926907511,0.123336804166757,0.0122242445965606,0,20,13.7743452280522,7.18545832158551,0.00859750196166092,1.59551973041605e-07,0.0269556883443279,0.0733891438882251,0.134949292084647,0.287209461493449,0.111765867595616,0.446095779598731,0.0850765000699477,0.0278345293190722,0,0.000522954652286911,0.00952646506319334,0.791868460398143,0.244084570608113,0.0105131440239334,0.0698617570812654,0.121159656482043,0.0744836742644042,0.370625283686118,0.155408607891254,0.101372775135879,0.116725048305641,0,0.117319005206464,0.0215867007411814,0,0.0912157176937847,0.131471882641178,0.281130251135693,0.00792981175753239,0.123339939955825,0.0322458636581023,0
