"Year","PgCO2_per_year_to_atmos_global_all_depths","PgCO2_per_year_to_atmos_global_200m_less","PgCO2_per_year_to_atmos_global_200m_greater","PgCO2_per_year_to_atmos_global_400m_greater"
1,0.990646213354145,0.962336619527456,0.0283095938267587,0.00690976498843799
2,1.07228275600526,1.02953901768391,0.0427437383213506,0.0103840362455876
3,1.12870381394676,1.07422644519356,0.0544773687533635,0.0137144577330607
4,1.17108559140683,1.10736400764892,0.0637215837579566,0.0166349099798663
5,1.20354218435838,1.1325985249961,0.0709436593623696,0.0191216193609019
6,1.22866912762623,1.15200980136928,0.0766593262569609,0.0212364299956867
7,1.24832234419019,1.16703217004751,0.0812901741427042,0.0230505153410063
8,1.26386129023345,1.17871598293463,0.0851453072989469,0.0246254630571139
9,1.27630367605164,1.1878615988562,0.0884420771954815,0.0260102096226397
10,1.28640475939166,1.19507606676124,0.0913286926303895,0.0272420911397323
11,1.29472549337266,1.20082052308213,0.0939049702905375,0.0283491623850755
12,1.30168458380734,1.20544412383875,0.0962404599685088,0.0293531828481821
13,1.30759466898858,1.20920996193898,0.098384707049677,0.0302715427725977
14,1.31268985742784,1.21231570137788,0.100374156049936,0.0311182915222721
15,1.31714670495733,1.21490992627276,0.102236778684676,0.031905061969968
16,1.32109898459225,1.2171041488092,0.103994835783078,0.0326416412170675
17,1.32464928329234,1.2189828140866,0.105666469205707,0.033336303236407
18,1.3278767803304,1.22061009779362,0.107266682536872,0.0339960650371251
19,1.33084328981007,1.22203507978611,0.108808210023888,0.0346271641031849
20,1.33359693300546,1.22329602954812,0.110300903457304,0.0352342178915075
21,1.33617649035813,1.2244227698432,0.111753720514967,0.0358220623904314
22,1.33861060937277,1.22543716927793,0.113173440094847,0.0363943487428944
23,1.34092145311332,1.22635727908093,0.114564174032365,0.0369529325486581
24,1.3431268458256,1.22719744190106,0.115929403924515,0.0374997895830745
25,1.34524051039736,1.22796895262933,0.117271557768057,0.0380364800326491
26,1.347273672097,1.22868098837048,0.118592683726485,0.0385646850386196
27,1.34923504674944,1.22934099822193,0.119894048527477,0.0390857294055993
28,1.35113037190555,1.22995508289617,0.121175289009512,0.0395995966559188
29,1.35296557216614,1.23052828575854,0.122437286407615,0.0401077250120247
