"Year","PgCO2_to_atmos_cumulative_global_alldepths","PgCO2_to_atmos_cumulative_global_200m_less","PgCO2_to_atmos_cumulative_global_200m_greater","PgCO2_to_atmos_cumulative_global_400m_greater","PgCO2_to_atmos_cumulative_global_alldepths_unadjusted","PgCO2_to_atmos_cumulative_global_200m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_400m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_200m_less_unadjusted"
1,0.990646213354145,0.962336619527456,0.0283095938267587,0.00690976498843799,1.4732476,0.324400484392963,0.163311924363218,1.15247320550449
2,1.80624121533839,1.74252322244534,0.0637179928931051,0.0155034021674507,2.564759912,0.564745096346637,0.284307862954169,2.00632743412041
3,2.51079229440828,2.40785346717028,0.102938827238205,0.0255067099826701,3.43868310984,0.757177861009918,0.381183689654927,2.68996884590985
4,3.1476507710128,3.00380229338791,0.143848477625096,0.0364726917952531,4.1885805126088,0.922300872717674,0.464311052578275,3.27658895210819
5,3.74324184117377,3.55796349670801,0.185278344466017,0.0480527268374557,4.86778321218702,1.07185732524078,0.5396017911485,3.80790691411961
6,4.31352730083127,4.08679480466163,0.226732496169857,0.0600358236918148,5.5066899309466,1.21254083902864,0.610425653837444,4.30770265394448
7,4.86820874327612,4.60011632988041,0.268092413395918,0.0723093374611245,6.12262794063956,1.3481667777374,0.678703397274059,4.78953072712302
8,5.413240135522,5.10382587429532,0.309414261226994,0.0848192576986571,6.72547378616455,1.48090989865108,0.745529852736845,5.26111723031315
9,5.95232986724424,5.60151502279764,0.350814844446913,0.0975428690402076,7.32085709811379,1.61200981342157,0.81152907405455,5.72686603860988
10,6.48781781154668,6.09540427886704,0.392413532679884,0.110472056627127,7.91198676592486,1.74217310069043,0.877056771909558,6.18928736081738
11,7.02119854737828,6.58689045479059,0.434308092587929,0.123604126876686,8.50069185657717,1.87180251028337,0.942315701390828,6.64981201595402
12,7.55343844919128,7.07686768140992,0.476570767781515,0.136937975287008,9.08801493824899,2.00112760960103,1.00742143289907,7.10925557086026
13,8.08516829939381,7.56591716480474,0.519251134589317,0.150472752334451,9.67455027480192,2.13027925206178,1.07243984156268,7.56808289863519
14,8.61680248945916,8.05442127459925,0.562381214860116,0.16420738474727,10.2606365966371,2.2593320241141,1.13740847620486,8.02655897694525
15,9.14861452181797,8.54263374227832,0.605980779539961,0.178140656101874,10.8464669800831,2.3883284400336,1.20234873965481,8.48483484306035
16,9.68078498070375,9.0307232949834,0.650061685720663,0.192271410531763,11.4321514786474,2.51729273295741,1.26727283152521,8.94299658822432
17,10.2134331612019,9.5188021964523,0.694630964749831,0.206598686063223,12.017752822829,2.64623871577366,1.33218770559525,9.40109328444615
18,10.7466375468355,10.0069446875746,0.739692859261288,0.22112178820514,12.6033067690125,2.77517426182861,1.39709732551908,9.85915290277095
19,11.2804495242011,10.4951992072752,0.785250316926116,0.235840594532987,13.1888336983371,2.90410385892962,1.46200395057959,10.3171913866945
20,11.8149019051413,10.9835970641743,0.83130484096722,0.25075475458788,13.7743452280522,3.03303006512688,1.52690886856799,10.7752178240092
21,12.3500157964324,11.4721578957149,0.877857900717771,0.265864795533395,14.3598479799897,3.16195433850901,1.5918128135253,11.233237394757
22,12.8858021271605,11.960891828982,0.9249102981787,0.281171386347654,14.9453457285942,3.2908775101865,1.65671620385488,11.6912530515616
23,13.4222644362183,12.4498034898734,0.972460946345208,0.296674105238503,15.5308406252987,3.41980005389236,1.72161927804666,12.1492664774186
24,13.9594014986851,12.9388937447788,1.0205077539065,0.312372345951114,16.1163338964202,3.54872223965439,1.78652217203989,12.6072786316354
25,14.4972083188679,13.4281607204059,1.06904759846225,0.328265319135518,16.7018262409595,3.67764422138843,1.85142496331994,13.0652900610174
26,15.0356775991991,13.9176007942245,1.11807680497477,0.344352518650298,17.2873180573469,3.80656608682652,1.91632769605349,13.5233010772434
27,15.5748001388691,14.4072091868944,1.16759095197497,0.360633530734107,17.8728095726878,3.93548788597592,1.98123039541553,13.9813118579707
28,16.1145641633815,14.8969803842739,1.21758377910794,0.377106879393932,18.458300916432,4.06440964734076,2.04613307575581,14.4393225044635
29,16.6549575987696,15.3869084385796,1.26804916019027,0.393771935048978,19.0437921623663,4.1933313871684,2.11103574525368,14.8973330744429
30,17.1959660238219,15.8769871830128,1.31897884080939,0.410626574281458,19.6292833525488,4.32225311471985,2.17593840857139,15.3553436008094
31,17.7375743370639,16.3672103838886,1.3703639531755,0.427668605053511,20.2147745109528,4.45117483527386,2.2408410683664,15.8133541023167
